Blue,Green,Red,Distance,Light,Color,ColorDetect,ColorNum
41.15,24.42,34.44,3,1,Blue,Yes,1
40.43,24.92,34.65,3,1,Blue,Yes,1
40.84,24.63,34.53,3,1,Blue,Yes,1
41.2,24.37,34.43,3,1,Blue,Yes,1
40.97,24.54,34.49,3,1,Blue,Yes,1
40.66,24.77,34.57,3,1,Blue,Yes,1
41.01,24.53,34.46,3,1,Blue,Yes,1
41.24,24.38,34.38,3,1,Blue,Yes,1
41.17,24.39,34.44,3,1,Blue,Yes,1
41.11,24.44,34.45,3,1,Blue,Yes,1
33.47,28.59,37.94,6,1,Red,No,0
36.22,26.98,36.8,6,1,Red,No,0
33.89,28.34,37.77,6,1,Red,No,0
36,27.09,36.9,6,1,Red,No,0
33.22,28.87,37.91,6,1,Red,No,0
33.82,28.51,37.67,6,1,Red,No,0
34.1,28.31,37.59,6,1,Red,No,0
33.71,28.57,37.71,6,1,Red,No,0
34.14,28.39,37.48,6,1,Red,No,0
34.05,28.48,37.47,6,1,Red,No,0
33.11,28.52,38.37,9,1,Red,No,0
33.02,28.82,38.15,9,1,Red,No,0
32.91,28.65,38.44,9,1,Red,No,0
32.94,28.7,38.35,9,1,Red,No,0
33.02,28.57,38.41,9,1,Red,No,0
33.07,28.53,38.4,9,1,Red,No,0
32.82,28.76,38.43,9,1,Red,No,0
32.84,28.82,38.34,9,1,Red,No,0
32.82,29,38.18,9,1,Red,No,0
32.96,28.76,38.28,9,1,Red,No,0
31.2,30.08,38.73,12,1,Red,No,0
31.01,30.14,38.86,12,1,Red,No,0
31.39,29.96,38.65,12,1,Red,No,0
31.27,30.05,38.68,12,1,Red,No,0
31.25,30,38.75,12,1,Red,No,0
31.29,29.99,38.72,12,1,Red,No,0
31.06,30.16,38.78,12,1,Red,No,0
31.19,30.04,38.77,12,1,Red,No,0
30.99,30.2,38.82,12,1,Red,No,0
31.05,30.11,38.84,12,1,Red,No,0
29.89,31.14,38.96,15,1,Red,No,0
29.88,31.15,38.97,15,1,Red,No,0
29.93,31.16,38.92,15,1,Red,No,0
30.05,31.01,38.93,15,1,Red,No,0
29.94,31.07,38.98,15,1,Red,No,0
29.9,31.11,38.99,15,1,Red,No,0
30.05,31.01,38.95,15,1,Red,No,0
29.96,31.06,38.98,15,1,Red,No,0
29.88,31.1,39.03,15,1,Red,No,0
29.91,31.1,38.99,15,1,Red,No,0
89.07,2.66,8.28,18,1,Blue,Yes,1
89.48,2.5,8.02,18,1,Blue,Yes,1
89.35,2.63,8.02,18,1,Blue,Yes,1
89.43,2.58,7.98,18,1,Blue,Yes,1
89.65,2.51,7.85,18,1,Blue,Yes,1
89.71,2.45,7.84,18,1,Blue,Yes,1
89.56,2.49,7.94,18,1,Blue,Yes,1
89.59,2.47,7.94,18,1,Blue,Yes,1
89.76,2.46,7.78,18,1,Blue,Yes,1
89.68,2.47,7.85,18,1,Blue,Yes,1
58.65,13.31,28.04,21,1,Blue,Yes,1
58.97,13.16,27.87,21,1,Blue,Yes,1
58.82,13.24,27.94,21,1,Blue,Yes,1
58.92,13.17,27.91,21,1,Blue,Yes,1
59.03,13.14,27.83,21,1,Blue,Yes,1
58.82,13.21,27.98,21,1,Blue,Yes,1
59,13.16,27.83,21,1,Blue,Yes,1
59.02,13.14,27.84,21,1,Blue,Yes,1
58.99,13.16,27.85,21,1,Blue,Yes,1
58.85,13.21,27.94,21,1,Blue,Yes,1
50.67,18.27,31.06,24,1,Blue,Yes,1
50.64,18.36,31,24,1,Blue,Yes,1
50.9,18.13,30.97,24,1,Blue,Yes,1
51.19,18.11,30.7,24,1,Blue,Yes,1
51.28,17.96,30.77,24,1,Blue,Yes,1
51.18,18.01,30.81,24,1,Blue,Yes,1
51.01,18.13,30.86,24,1,Blue,Yes,1
50.8,18.23,30.96,24,1,Blue,Yes,1
50.75,18.27,30.98,24,1,Blue,Yes,1
50.66,18.34,30.99,24,1,Blue,Yes,1
80.87,5.41,13.72,3,0,Blue,Yes,1
80.73,5.41,13.86,3,0,Blue,Yes,1
79.28,6.29,14.43,3,0,Blue,Yes,1
78.92,6.51,14.58,3,0,Blue,Yes,1
78.69,6.59,14.72,3,0,Blue,Yes,1
78.74,6.52,14.74,3,0,Blue,Yes,1
78.77,6.56,14.67,3,0,Blue,Yes,1
78.33,7.06,14.61,3,0,Blue,Yes,1
78.2,6.79,15,3,0,Blue,Yes,1
76.55,7.89,15.56,3,0,Blue,Yes,1
78.16,7.06,14.78,6,0,Blue,Yes,1
76.31,8.16,15.53,6,0,Blue,Yes,1
76.28,8.33,15.39,6,0,Blue,Yes,1
76.72,8.04,15.24,6,0,Blue,Yes,1
77.3,7.68,15.02,6,0,Blue,Yes,1
75.66,8.61,15.73,6,0,Blue,Yes,1
78.16,7.17,14.67,6,0,Blue,Yes,1
77.92,7.28,14.8,6,0,Blue,Yes,1
78.33,7.14,14.53,6,0,Blue,Yes,1
76.74,8.2,15.06,6,0,Blue,Yes,1
76.85,8.37,14.77,9,0,Blue,Yes,1
80,6.59,13.41,9,0,Blue,Yes,1
77.41,8.24,14.35,9,0,Blue,Yes,1
76.4,8.88,14.71,9,0,Blue,Yes,1
79.88,6.54,13.58,9,0,Blue,Yes,1
79.62,6.67,13.71,9,0,Blue,Yes,1
79.59,6.68,13.74,9,0,Blue,Yes,1
80.01,6.63,13.36,9,0,Blue,Yes,1
78.64,7.35,14.01,9,0,Blue,Yes,1
80.19,6.72,13.08,9,0,Blue,Yes,1
78.33,7.69,13.98,12,0,Blue,Yes,1
